Time	Channel A	Channel B
(ms)	(mV)	(V)

0.76770201	11.10874000	5.79363400
0.76772201	11.10874000	5.79363400
0.76774201	11.10874000	5.79363400
0.76776201	11.10874000	5.79363400
0.76778201	12.69570000	5.71428600
0.76780201	11.10874000	5.79363400
0.76782201	11.10874000	5.79363400
0.76784201	11.10874000	5.79363400
0.76786201	11.10874000	5.79363400
0.76788201	12.69570000	5.79363400
0.76790201	12.69570000	5.79363400
0.76792201	11.90222000	5.79363400
0.76794201	11.90222000	5.79363400
0.76796201	12.69570000	5.79363400
0.76798201	12.69570000	5.79363400
0.76800201	12.69570000	5.79363400
0.76802201	12.69570000	5.79363400
0.76804201	11.10874000	5.79363400
0.76806201	12.69570000	5.79363400
0.76808201	13.48918000	5.79363400
0.76810201	12.69570000	5.79363400
0.76812201	12.69570000	5.79363400
0.76814201	12.69570000	5.79363400
0.76816201	11.10874000	5.79363400
0.76818201	12.69570000	5.79363400
0.76820201	12.69570000	5.79363400
0.76822201	12.69570000	5.71428600
0.76824201	11.90222000	5.79363400
0.76826201	12.69570000	5.79363400
0.76828201	12.69570000	5.79363400
0.76830201	12.69570000	5.79363400
0.76832201	12.69570000	5.79363400
0.76834201	12.69570000	5.71428600
0.76836201	12.69570000	5.79363400
0.76838201	12.69570000	5.79363400
0.76840201	11.90222000	5.71428600
0.76842201	13.48918000	5.79363400
0.76844201	13.48918000	5.79363400
0.76846201	11.90222000	5.79363400
0.76848201	12.69570000	5.79363400
0.76850201	12.69570000	5.79363400
0.76852201	12.69570000	5.79363400
0.76854201	12.69570000	5.79363400
0.76856201	12.69570000	5.79363400
0.76858201	13.48918000	5.79363400
0.76860201	12.69570000	5.71428600
0.76862201	12.69570000	5.79363400
0.76864201	12.69570000	5.79363400
0.76866201	12.69570000	5.79363400
0.76868201	12.69570000	5.79363400
0.76870201	13.48918000	5.79363400
0.76872201	11.90222000	5.79363400
0.76874201	12.69570000	5.79363400
0.76876201	12.69570000	5.79363400
0.76878201	13.48918000	5.79363400
0.76880201	13.48918000	5.71428600
0.76882201	11.10874000	5.79363400
0.76884201	13.48918000	5.79363400
0.76886201	11.90222000	5.79363400
0.76888201	12.69570000	5.79363400
0.76890201	12.69570000	5.79363400
0.76892201	12.69570000	5.79363400
0.76894201	12.69570000	5.79363400
0.76896201	12.69570000	5.79363400
0.76898201	12.69570000	5.79363400
0.76900201	12.69570000	5.79363400
0.76902201	12.69570000	5.79363400
0.76904201	12.69570000	5.79363400
0.76906201	12.69570000	5.79363400
0.76908201	12.69570000	5.79363400
0.76910201	13.48918000	5.79363400
0.76912201	13.48918000	5.71428600
0.76914201	11.90222000	5.79363400
0.76916201	14.28571000	5.79363400
0.76918201	13.48918000	5.79363400
0.76920201	13.48918000	5.79363400
0.76922201	12.69570000	5.79363400
0.76924201	12.69570000	5.79363400
0.76926201	12.69570000	5.71428600
0.76928201	11.90222000	5.79363400
0.76930201	12.69570000	5.79363400
0.76932201	12.69570000	5.79363400
0.76934201	12.69570000	5.79363400
0.76936201	14.28571000	5.79363400
0.76938201	12.69570000	5.79363400
0.76940201	12.69570000	5.79363400
0.76942201	12.69570000	5.79363400
0.76944201	12.69570000	5.79363400
0.76946201	12.69570000	5.79363400
0.76948201	12.69570000	5.79363400
0.76950201	13.48918000	5.79363400
